"ID_evenement","Systeme","Categorie","Date","app_mthd","TAN_app_kgNha","NH3N_kgNha","emis_pct_TAN"
130,"MF","Lisier","2018-09-30","bc",42.347,11.2857541851788,26.6506580989889
133,"MF","Lisier","2019-08-20","bc",0.589,0.381154574723423,64.7121519055048
136,"MF","Lisier","2021-02-13","bsth",0.729,0.168536951145963,23.1189233396383
140,"MF","Lisier","2022-02-01","bsth",31.059,8.19035253372963,26.3703034023298
141,"MF","Lisier","2022-04-21","bsth",41.067,13.5415578418979,32.9743050183794
143,"MF","Lisier","2022-09-15","bsth",36.236,5.89183770230552,16.2596249649672
148,"MF","Lisier","2024-04-19","bsth",49.368,6.67955377331996,13.5301283692269
96,"CTR","Digestat liquide","2025-04-02","bsth",54.472,23.2968359147773,42.7684607041733
150,"MF","Digestat liquide","2025-04-02","bsth",54.472,23.2968359147773,42.7684607041733
97,"CTR","Digestat liquide","2025-07-04","bc",62.693,52.247928097788,83.3393330958608
151,"MF","Digestat liquide","2025-07-04","bc",62.693,52.247928097788,83.3393330958608
