"ID_evenement","Systeme","Categorie","Date","app.mthd","app.mthd.ts","app.mthd.bc","app.mthd.os","app.mthd.cs","incorp.shallow","incorp.deep","man.source.pig","ct","dt","f","s","e","ei","j","er","f0","r1","r2","r3","f4","r5","jinst"
96,"CTR","Digestat liquide","2025-04-02","bsth",0,0,0,0,0,0,0,1,1,36.3296666379701,15.4412521866668,2.47459014066215,2.47459014066215,2.47459014066215,0.0454286631785532,0.759956486399866,0.0628769467770044,0.0676810890783262,0.00241192722391505,1,0.0158489319246111,2.32154169214232
96,"CTR","Digestat liquide","2025-04-02","bsth",0,0,0,0,0,0,0,2,1,31.7076684711419,17.4393807599134,4.83743707632759,2.36284693566543,2.36284693566543,0.0888059383963795,0.759956486399866,0.068395021933806,0.0676810890783262,0.00241192722391505,1,0.0158489319246111,2.21070919777666
96,"CTR","Digestat liquide","2025-04-02","bsth",0,0,0,0,0,0,0,3,1,27.5545450679584,19.1073971828676,7.03251902438681,2.19508194805922,2.19508194805922,0.129103374658298,0.759956486399866,0.0727099729214777,0.0676810890783262,0.00241192722391505,1,0.0158489319246111,2.04957587719841
96,"CTR","Digestat liquide","2025-04-02","bsth",0,0,0,0,0,0,0,4,1,23.9320428910215,20.48494620831,8.96336708437113,1.93084805998432,1.93084805998432,0.164549990534056,0.759956486399866,0.0732681404271921,0.0676810890783262,0.00241192722391505,1,0.0158489319246111,1.80286447868921
96,"CTR","Digestat liquide","2025-04-02","bsth",0,0,0,0,0,0,0,5,1,20.7740910125086,21.6105996619393,10.6617714609871,1.69840437661601,1.69840437661601,0.195729392366484,0.759956486399866,0.0738305927779135,0.0676810890783262,0.00241192722391505,1,0.0158489319246111,1.5858866475256
96,"CTR","Digestat liquide","2025-04-02","bsth",0,0,0,0,0,0,0,6,1,18.0630684955102,22.5195016662039,12.1139203210056,1.45214886001844,1.45214886001844,0.222388021754398,0.759956486399866,0.0721560576181889,0.0676810890783262,0.00241192722391505,1,0.0158489319246111,1.35767521026104
96,"CTR","Digestat liquide","2025-04-02","bsth",0,0,0,0,0,0,0,7,1,15.8213188525008,23.2463796872326,13.2659039223963,1.15198360139069,1.15198360139069,0.243536200660822,0.759956486399866,0.0648300250836683,0.0676810890783262,0.00241192722391505,1,0.0158489319246111,1.08176507408944
96,"CTR","Digestat liquide","2025-04-02","bsth",0,0,0,0,0,0,0,8,1,14.0487064524425,23.826020028816,14.0856799630133,0.819776040617011,0.819776040617011,0.258585694724139,0.759956486399866,0.0511469118374371,0.0676810890783262,0.00241192722391505,1,0.0158489319246111,0.776014576698158
96,"CTR","Digestat liquide","2025-04-02","bsth",0,0,0,0,0,0,0,9,1,12.444774683379,24.2820522604529,14.8521943872502,0.766514424236878,0.766514424236878,0.272657409077143,0.759956486399866,0.0535484043571291,0.0676810890783262,0.00241192722391505,1,0.0158489319246111,0.724964369778459
96,"CTR","Digestat liquide","2025-04-02","bsth",0,0,0,0,0,0,0,10,1,11.0632951024013,24.6299222753458,15.4980708300638,0.645876442813629,0.645876442813629,0.284514444669992,0.759956486399866,0.0499868601710398,0.0676810890783262,0.00241192722391505,1,0.0158489319246111,0.6124249653735
