ID_evenement,Systeme,Parcelle,Annee,Date,Product,Categorie,N_total_kgNha,TAN_kgNha,Methode_application,Incorporation,Delai_incorp_h,frac_N_NH4,frac_N_ureique,frac_N_NO3,MS_pct,pH_produit,pH_sol,CaCO3_gkg,CIC_cmolkg,Clay,Lime,Sand,Corg_gkg,Humidite_sol,Densite_gcm3,Temp_air_C,Vent_ms,Precip_mm,Intensite_pluie_promedio_mmh,HR_pct,Rayonnement,NH3_emis_kgNha,NH3_emis_pctTAN,Inhibiteur_co_applique,Type_inhibiteur,Statut_qualite,NH3_emis_kgNha_EMEP,N_applied_kgNha,calc_note,NH3_emis_kgNha_base
60,HYP,B3,2023,2023-02-13,Solution 39,Solution azotée (UAN),43.0,,Application liquide minérale,Non,,,,,,,7.8,3.0,13.9,20.3,71.6,8.1,15.7,22.8,1.25,5.6,1.1,0.5,,84,,5.701,,Non,,,5.7017999999999995,43.0,mineral,5.7017999999999995
61,HYP,B3,2023,2023-02-13,Thiosulfate 13N - 64S,Thiosulfate,6.5,,Application liquide minérale,Non,,,,,,,7.8,3.0,13.9,20.3,71.6,8.1,15.7,22.8,1.25,5.6,1.1,0.5,,84,,1.001,,Non,,,1.001,6.5,mineral,1.001
62,HYP,B3,2023,2023-03-07,Solution 39,Solution azotée (UAN),60.0,,Application liquide minérale,Non,,,,,,,7.8,3.0,13.9,20.3,71.6,8.1,15.7,22.8,1.25,5.9,3.9,8.0,,71,,7.955,,Oui,à déterminer (uréase/nitrification),,7.9559999999999995,60.0,mineral,7.9559999999999995
63,HYP,B3,2023,2023-03-07,Autre (inhibiteur),Additif,0.0,0.0,Application liquide minérale,Non,,,,,,,7.8,3.0,13.9,20.3,71.6,8.1,15.7,22.8,1.25,5.9,3.9,8.0,,71,,0.0,,Non,,"Inhibiteur (sans N) — non-émetteur, exclure du calcul EMEP",0.0,0.0,non-N (excluded),0.0
64,HYP,B3,2023,2023-04-22,Solution 39,Solution azotée (UAN),49.0,,Application liquide minérale,Non,,,,,,,7.8,3.0,13.9,20.3,71.6,8.1,15.7,22.8,1.25,10.5,2.2,4.0,,78,,6.497,,Non,,,6.4974,49.0,mineral,6.4974
65,HYP,B3,2023,2023-05-08,Solution 39,Solution azotée (UAN),29.0,,Application liquide minérale,Non,,,,,,,7.8,3.0,13.9,20.3,71.6,8.1,15.7,22.8,1.25,14.5,0.9,2.0,,84,,3.845,,Non,,,3.8453999999999997,29.0,mineral,3.8453999999999997
66,HYP,B3,2024,2024-02-21,Solution 39,Solution azotée (UAN),39.0,,Application liquide minérale,Non,,,,,,,7.8,3.0,13.9,20.3,71.6,8.1,15.7,22.8,1.25,8.8,4.7,11.0,,90,,5.171,,Non,,,5.1714,39.0,mineral,5.1714
67,HYP,B3,2024,2024-03-07,Solution 39,Solution azotée (UAN),39.0,,Application liquide minérale,Non,,,,,,,7.8,3.0,13.9,20.3,71.6,8.1,15.7,22.8,1.25,6.8,2.6,0.0,,80,,5.171,,Non,,,5.1714,39.0,mineral,5.1714
68,HYP,B3,2024,2024-03-25,Solution 39,Solution azotée (UAN),43.0,,Application liquide minérale,Non,,,,,,,7.8,3.0,13.9,20.3,71.6,8.1,15.7,22.8,1.25,7.6,2.7,0.5,,71,,5.701,,Non,,,5.7017999999999995,43.0,mineral,5.7017999999999995
69,HYP,B3,2024,2024-04-11,EPSO Top,Additif,,,,Non,,,,,,,7.8,3.0,13.9,20.3,71.6,8.1,15.7,22.8,1.25,14.2,1.5,0.0,,81,,0.0,,Non,,,0.0,0.0,non-N (excluded),0.0
70,HYP,B3,2024,2024-05-03,EPSO Top,Additif,,,,Non,,,,,,,7.8,3.0,13.9,20.3,71.6,8.1,15.7,22.8,1.25,11.2,2.6,0.5,,77,,0.0,,Non,,,0.0,0.0,non-N (excluded),0.0
71,HYP,B3,2025,2025-02-25,Solution 39 + Thiosulfate,Solution azotée (UAN),90.0,,Application liquide minérale,Non,,,,,,,7.8,3.0,13.9,20.3,71.6,8.1,15.7,22.8,1.25,7.7,3.4,12.5,,91,,11.933,,Non,,,11.934,90.0,mineral,11.934
72,HYP,B3,2025,2025-02-25,Solution 39,Solution azotée (UAN),105.0,,Application liquide minérale,Non,,,,,,,7.8,3.0,13.9,20.3,71.6,8.1,15.7,22.8,1.25,7.7,3.4,12.5,,91,,13.922,,Non,,,13.923,105.0,mineral,13.923
73,HYP,B3,2025,2025-03-19,Bore,Oligo/biostimulant,,,,Non,,,,,,,7.8,3.0,13.9,20.3,71.6,8.1,15.7,22.8,1.25,11.1,2.0,0.0,,61,,0.0,,Non,,,0.0,0.0,non-N (excluded),0.0
74,HYP,B3,2025,2025-03-28,Solution 39,Solution azotée (UAN),25.0,,Application liquide minérale,Non,,,,,,,7.8,3.0,13.9,20.3,71.6,8.1,15.7,22.8,1.25,7.4,2.2,5.5,,89,,3.315,,Non,,,3.315,25.0,mineral,3.315
89,COM,B4,2023,2023-02-13,Solution 39,Solution azotée (UAN),43.0,,Application liquide minérale,Non,,,,,,,7.7,2.0,13.6,20.3,71.6,8.1,16.2,20.7,1.32,5.6,1.1,0.5,,84,,5.701,,Non,,,5.7017999999999995,43.0,mineral,5.7017999999999995
90,COM,B4,2023,2023-02-13,Thiosulfate 13N - 64S,Thiosulfate,6.5,,Application liquide minérale,Non,,,,,,,7.7,2.0,13.6,20.3,71.6,8.1,16.2,20.7,1.32,5.6,1.1,0.5,,84,,1.001,,Non,,,1.001,6.5,mineral,1.001
91,COM,B4,2023,2023-03-07,Solution 39,Solution azotée (UAN),60.0,,Application liquide minérale,Non,,,,,,,7.7,2.0,13.6,20.3,71.6,8.1,16.2,20.7,1.32,5.9,3.9,8.0,,71,,7.955,,Oui,à déterminer (uréase/nitrification),,7.9559999999999995,60.0,mineral,7.9559999999999995
92,COM,B4,2023,2023-03-07,Autre (inhibiteur),Additif,0.0,0.0,Application liquide minérale,Non,,,,,,,7.7,2.0,13.6,20.3,71.6,8.1,16.2,20.7,1.32,5.9,3.9,8.0,,71,,0.0,,Non,,"Inhibiteur (sans N) — non-émetteur, exclure du calcul EMEP",0.0,0.0,non-N (excluded),0.0
93,COM,B4,2023,2023-04-22,Solution 39,Solution azotée (UAN),39.0,,Application liquide minérale,Non,,,,,,,7.7,2.0,13.6,20.3,71.6,8.1,16.2,20.7,1.32,10.5,2.2,4.0,,78,,5.171,,Non,,,5.1714,39.0,mineral,5.1714
94,COM,B4,2024,2024-02-21,Solution 39,Solution azotée (UAN),39.0,,Application liquide minérale,Non,,,,,,,7.7,2.0,13.6,20.3,71.6,8.1,16.2,20.7,1.32,8.8,4.7,11.0,,90,,5.171,,Non,,,5.1714,39.0,mineral,5.1714
95,COM,B4,2024,2024-05-31,Ammonitrate 24,Ammonitrate,140.0,72.8,Épandage solide minéral,Non,,,,,,,7.7,2.0,13.6,20.3,71.6,8.1,16.2,20.7,1.32,12.8,2.8,8.0,,91,,5.995,,Non,,,5.992,140.0,mineral,5.992
96,COM,B4,2025,2025-04-02,Digestat liquide 5u,Digestat liquide,135.0,54.4725,Pendillard,Non,,,,,7.4,8.1,7.7,2.0,13.6,20.3,71.6,8.1,16.2,20.7,1.32,11.1,3.7,0.0,,58,,29.96,55.0,Non,,,29.959875,135.0,organic,29.959875
97,COM,B4,2025,2025-07-04,Digestat liquide 4u,Digestat liquide,123.0,62.69310000000001,Épandage en surface,Non,,,,,9.5,8.1,7.7,2.0,13.6,20.3,71.6,8.1,16.2,20.7,1.32,19.8,1.3,0.0,,49,,34.481,55.0,Non,,,34.48120500000001,123.0,organic,34.48120500000001
110,LI,B5,2023,2023-03-06,Solution 39,Solution azotée (UAN),60.0,,Application liquide minérale,Non,,,,,,,7.7,3.0,12.9,20.3,71.6,8.1,15.9,20.5,1.32,4.6,2.7,0.0,,75,,7.955,,Non,,,7.9559999999999995,60.0,mineral,7.9559999999999995
111,LI,B5,2023,2023-03-06,Thiosulfate 13N - 64S,Thiosulfate,8.5,,Application liquide minérale,Non,,,,,,,7.7,3.0,12.9,20.3,71.6,8.1,15.9,20.5,1.32,4.6,2.7,0.0,,75,,1.309,,Non,,,1.309,8.5,mineral,1.309
112,LI,B5,2023,2023-04-22,Solution 39,Solution azotée (UAN),43.0,,Application liquide minérale,Non,,,,,,,7.7,3.0,12.9,20.3,71.6,8.1,15.9,20.5,1.32,10.5,2.2,4.0,,78,,5.701,,Non,,,5.7017999999999995,43.0,mineral,5.7017999999999995
113,LI,B5,2024,2024-03-07,Solution 39,Solution azotée (UAN),39.0,,Application liquide minérale,Non,,,,,,,7.7,3.0,12.9,20.3,71.6,8.1,15.9,20.5,1.32,6.8,2.6,0.0,,80,,5.171,,Non,,,5.1714,39.0,mineral,5.1714
114,LI,B5,2024,2024-03-21,Entec 26,Entec,36.0,25.56,Épandage solide minéral,Non,,,,,,,7.7,3.0,12.9,20.3,71.6,8.1,15.9,20.5,1.32,12.6,1.0,0.5,,75,,5.544,,Non,,,3.2363999999999997,36.0,mineral,5.544
