Systeme,baseline_kgha,corrected_kgha,delta_kgha
COM,95.435,95.435,0.0
GHG,70.231,49.719,-20.512
HYP,70.218,70.218,0.0
LI,50.346,48.038,-2.308
LOM,131.191,131.191,0.0
OF,0.0,0.0,0.0
SCA,63.654,63.654,0.0
