"ID_evenement","Systeme","Categorie","Date","app.mthd","app.mthd.ts","app.mthd.bc","app.mthd.os","app.mthd.cs","incorp.shallow","incorp.deep","man.source.pig","ct","dt","f","s","e","ei","j","er","f0","r1","r2","r3","f4","r5","jinst"
130,"MF","Lisier","2018-09-30","bc",0,1,0,0,0,0,0,1,1,4.75027752124632,33.4298350165743,3.63538517341604,3.63538517341604,3.63538517341604,0.0858475257613535,0.206628709481632,0.543181679114621,0.0676810890783262,0.00234740065869635,1,0.0158489319246111,2.65873693698903
130,"MF","Lisier","2018-09-30","bc",0,1,0,0,0,0,0,2,1,2.44766608622902,33.0597112817048,5.78103079746292,2.14564562404688,2.14564562404688,0.136515710616169,0.206628709481632,0.595387000124898,0.0676810890783262,0.00234740065869635,1,0.0158489319246111,1.53491295642633
130,"MF","Lisier","2018-09-30","bc",0,1,0,0,0,0,0,3,1,1.31771683123948,32.5858560695663,6.86454024201919,1.08350944455627,1.08350944455627,0.162102161712026,0.206628709481632,0.551553297901019,0.0676810890783262,0.00234740065869635,1,0.0158489319246111,0.803283123971699
130,"MF","Lisier","2018-09-30","bc",0,1,0,0,0,0,0,4,1,0.694313486471106,32.0634672753091,7.49797823602822,0.633437994009038,0.633437994009038,0.177060434883893,0.206628709481632,0.573051187457352,0.0676810890783262,0.00234740065869635,1,0.0158489319246111,0.473142972092071
130,"MF","Lisier","2018-09-30","bc",0,1,0,0,0,0,0,5,1,0.375362038247549,31.5200552090594,7.85646102308335,0.358482787055125,0.358482787055125,0.185525799302981,0.206628709481632,0.547351483486692,0.0676810890783262,0.00234740065869635,1,0.0158489319246111,0.279445166839276
130,"MF","Lisier","2018-09-30","bc",0,1,0,0,0,0,0,6,1,0.213717709338881,30.9709245151218,8.07202723023731,0.215566207153958,0.215566207153958,0.190616271051959,0.206628709481632,0.495553877501332,0.0676810890783262,0.00234740065869635,1,0.0158489319246111,0.178609808160817
130,"MF","Lisier","2018-09-30","bc",0,1,0,0,0,0,0,7,1,0.130117504708402,30.4237546213101,8.21628299217028,0.144255761932971,0.144255761932971,0.194022787733966,0.206628709481632,0.428537015334046,0.0676810890783262,0.00234740065869635,1,0.0158489319246111,0.127176908748532
130,"MF","Lisier","2018-09-30","bc",0,1,0,0,0,0,0,8,1,0.0815097084843334,29.8821254904285,8.32863671311815,0.112353720947876,0.112353720947876,0.196675956103576,0.206628709481632,0.400034699834446,0.0676810890783262,0.00234740065869635,1,0.0158489319246111,0.102752032826602
130,"MF","Lisier","2018-09-30","bc",0,1,0,0,0,0,0,9,1,0.052286922030015,29.3477091763504,8.42292124497668,0.0942845318585306,0.0942845318585306,0.198902430986296,0.206628709481632,0.376294763567138,0.0676810890783262,0.00234740065869635,1,0.0158489319246111,0.0885661268147318
130,"MF","Lisier","2018-09-30","bc",0,1,0,0,0,0,0,10,1,0.0337331802366477,28.821355231872,8.50688115693017,0.0839599119534853,0.0839599119534853,0.20088509592014,0.206628709481632,0.370583264200005,0.0676810890783262,0.00234740065869635,1,0.0158489319246111,0.0801562202997619
130,"MF","Lisier","2018-09-30","bc",0,1,0,0,0,0,0,11,1,0.0217013125768081,28.3034831077874,8.58411268554737,0.0772315286171992,0.0772315286171992,0.202708873959132,0.206628709481632,0.373428094529695,0.0676810890783262,0.00234740065869635,1,0.0158489319246111,0.074543494694972
130,"MF","Lisier","2018-09-30","bc",0,1,0,0,0,0,0,12,1,0.0142737835710693,27.7943092707465,8.65618058016525,0.0720678946178825,0.0720678946178825,0.204410715757084,0.206628709481632,0.35126711907375,0.0676810890783262,0.00234740065869635,1,0.0158489319246111,0.0702582907234522
130,"MF","Lisier","2018-09-30","bc",0,1,0,0,0,0,0,13,1,0.00943860272819878,27.293911977768,8.72487991468176,0.0686993345165057,0.0686993345165057,0.206033010949577,0.206628709481632,0.345935495775924,0.0676810890783262,0.00234740065869635,1,0.0158489319246111,0.0673348946692243
130,"MF","Lisier","2018-09-30","bc",0,1,0,0,0,0,0,14,1,0.0062081301340082,26.8022710267979,8.79107950484069,0.0661995901589343,0.0661995901589343,0.207596276119694,0.206628709481632,0.35126711907375,0.0676810890783262,0.00234740065869635,1,0.0158489319246111,0.0650963806498717
130,"MF","Lisier","2018-09-30","bc",0,1,0,0,0,0,0,15,1,0.00399382956514872,26.319314852763,8.85530118968784,0.0642216848471442,0.0642216848471442,0.20911283419576,0.206628709481632,0.373428094529695,0.0676810890783262,0.00234740065869635,1,0.0158489319246111,0.0632733851862024
130,"MF","Lisier","2018-09-30","bc",0,1,0,0,0,0,0,16,1,0.00261271146596323,25.8449489270459,8.91768557789289,0.0623843882050537,0.0623843882050537,0.210586005570475,0.206628709481632,0.356680914358368,0.0676810890783262,0.00234740065869635,1,0.0158489319246111,0.0616003544499556
130,"MF","Lisier","2018-09-30","bc",0,1,0,0,0,0,0,17,1,0.00175910188646027,25.379063159313,8.97851313531088,0.0608275574179906,0.0608275574179906,0.21202241328337,0.206628709481632,0.327904081823231,0.0676810890783262,0.00234740065869635,1,0.0158489319246111,0.0601516462661811
130,"MF","Lisier","2018-09-30","bc",0,1,0,0,0,0,0,18,1,0.00120192420263013,24.9215315598817,9.03800750767064,0.0594943723597616,0.0594943723597616,0.213427338599444,0.206628709481632,0.313198523195878,0.0676810890783262,0.00234740065869635,1,0.0158489319246111,0.0588772604846455
130,"MF","Lisier","2018-09-30","bc",0,1,0,0,0,0,0,19,1,0.000849580204891144,24.4722200908927,9.09626298363049,0.0582554759598466,0.0582554759598466,0.214803008091022,0.206628709481632,0.279255613764076,0.0676810890783262,0.00234740065869635,1,0.0158489319246111,0.0576833556026823
130,"MF","Lisier","2018-09-30","bc",0,1,0,0,0,0,0,20,1,0.000587344959512465,24.0309900485719,9.15340380389065,0.0571408202601624,0.0571408202601624,0.216152355630639,0.206628709481632,0.301448949321428,0.0676810890783262,0.00234740065869635,1,0.0158489319246111,0.0565874163900776
130,"MF","Lisier","2018-09-30","bc",0,1,0,0,0,0,0,21,1,0.000385278926692886,23.5977006698374,9.20947370528147,0.0560699013908188,0.0560699013908188,0.217476414038337,0.206628709481632,0.35396366651855,0.0676810890783262,0.00234740065869635,1,0.0158489319246111,0.0555296328376202
130,"MF","Lisier","2018-09-30","bc",0,1,0,0,0,0,0,22,1,0.000245719877600733,23.172212944637,9.26448461416523,0.0550109088837623,0.0550109088837623,0.21877546494829,0.206628709481632,0.382094289642901,0.0676810890783262,0.00234740065869635,1,0.0158489319246111,0.0544883560917762
130,"MF","Lisier","2018-09-30","bc",0,1,0,0,0,0,0,23,1,0.000154396491306405,22.7543898957199,9.31846521872486,0.0539806045596283,0.0539806045596283,0.220050185815403,0.206628709481632,0.396987176459295,0.0676810890783262,0.00234740065869635,1,0.0158489319246111,0.0534749632565855
130,"MF","Lisier","2018-09-30","bc",0,1,0,0,0,0,0,24,1,9.43084191782276e-05,22.3440959367472,9.37144770490842,0.0529824861835593,0.0529824861835593,0.22130133669229,0.206628709481632,0.425272357113425,0.0676810890783262,0.00234740065869635,1,0.0158489319246111,0.0524906522836146
130,"MF","Lisier","2018-09-30","bc",0,1,0,0,0,0,0,25,1,5.76054407236866e-05,21.941197128435,9.42345559810019,0.0520078931917709,0.0520078931917709,0.222529473117345,0.206628709481632,0.425272357113425,0.0676810890783262,0.00234740065869635,1,0.0158489319246111,0.051529278593434
130,"MF","Lisier","2018-09-30","bc",0,1,0,0,0,0,0,26,1,3.37773529268557e-05,21.5455613037466,9.47451541989574,0.0510598217955511,0.0510598217955511,0.22373522138276,0.206628709481632,0.466145385003636,0.0676810890783262,0.00234740065869635,1,0.0158489319246111,0.0505918099535821
130,"MF","Lisier","2018-09-30","bc",0,1,0,0,0,0,0,27,1,2.00856821915166e-05,21.1570582707632,9.52464602473876,0.0501306048430141,0.0501306048430141,0.224919026725358,0.206628709481632,0.452102224631153,0.0676810890783262,0.00234740065869635,1,0.0158489319246111,0.0496731733024686
130,"MF","Lisier","2018-09-30","bc",0,1,0,0,0,0,0,28,1,1.17353110258697e-05,20.7755599145909,9.57386829340531,0.0492222686665524,0.0492222686665524,0.226081382232633,0.206628709481632,0.469723810306155,0.0676810890783262,0.00234740065869635,1,0.0158489319246111,0.0487740753833066
130,"MF","Lisier","2018-09-30","bc",0,1,0,0,0,0,0,29,1,7.00247179870977e-06,20.400940225428,9.62219994425398,0.0483316508486684,0.0483316508486684,0.22722270631341,0.206628709481632,0.448658043168665,0.0676810890783262,0.00234740065869635,1,0.0158489319246111,0.0478923222384891
130,"MF","Lisier","2018-09-30","bc",0,1,0,0,0,0,0,30,1,4.3731190408058e-06,20.0330753557115,9.66965830363536,0.0474583593813875,0.0474583593813875,0.228343408119474,0.206628709481632,0.403105617916714,0.0676810890783262,0.00234740065869635,1,0.0158489319246111,0.0470274171145641
130,"MF","Lisier","2018-09-30","bc",0,1,0,0,0,0,0,31,1,2.88407518975919e-06,19.6718436094462,9.71625994126375,0.0466016376283847,0.0466016376283847,0.229443878935078,0.206628709481632,0.348591114325306,0.0676810890783262,0.00234740065869635,1,0.0158489319246111,0.0461787040095698
130,"MF","Lisier","2018-09-30","bc",0,1,0,0,0,0,0,32,1,1.95149575540655e-06,19.3171254344426,9.7620208154594,0.045760874195647,0.045760874195647,0.230524495606758,0.206628709481632,0.322927068754912,0.0676810890783262,0.00234740065869635,1,0.0158489319246111,0.0453456631597347
130,"MF","Lisier","2018-09-30","bc",0,1,0,0,0,0,0,33,1,1.32047031814305e-06,18.9688034074044,9.80695630459797,0.0449354891385756,0.0449354891385756,0.231585621285994,0.206628709481632,0.322927068754912,0.0676810890783262,0.00234740065869635,1,0.0158489319246111,0.044527808028832
130,"MF","Lisier","2018-09-30","bc",0,1,0,0,0,0,0,34,1,9.21216158135443e-07,18.6267622121989,9.85108133906501,0.0441250344670383,0.0441250344670383,0.232627608545234,0.206628709481632,0.292367456560528,0.0676810890783262,0.00234740065869635,1,0.0158489319246111,0.0437247432199211
130,"MF","Lisier","2018-09-30","bc",0,1,0,0,0,0,0,35,1,6.44112539036273e-07,18.2908886057887,9.89441062714476,0.043329288079752,0.043329288079752,0.233650804712135,0.206628709481632,0.29014015813274,0.0676810890783262,0.00234740065869635,1,0.0158489319246111,0.0429362308442839
130,"MF","Lisier","2018-09-30","bc",0,1,0,0,0,0,0,36,1,4.5036222962424e-07,17.9610713823814,9.93695854764761,0.0425479205028498,0.0425479205028498,0.234655549334017,0.206628709481632,0.29014015813274,0.0676810890783262,0.00234740065869635,1,0.0158489319246111,0.0421619614620629
