Systeme,baseline_kgha,corrected_kgha,delta_kgha
CTR,102.455,102.455,0.0
GHG,158.215,95.589,-62.626
HYP,117.737,117.737,0.0
LI,86.056,86.056,0.0
MF,140.221,140.221,0.0
OF,3.351,3.351,0.0
SCA,121.83,121.83,0.0
