Categorie,NH3N_kgha,n_events
Solution azotée (UAN),688.685,92
Digestat liquide,128.882,4
Entec,119.837,11
Lisier,110.767,7
Urée,57.155,5
Ammonitrate,7.148,2
Thiosulfate,5.852,5
Fumier solide,3.819,1
Autre organique,3.351,5
Additif,0.0,9
Oligo/biostimulant,0.0,11
