Systeme,NH3N_kgha,N_applied_kgha,n_events,intensity_pct
MF,271.413,1685.8,27,16.1
CTR,197.89,1347.0,23,14.691
HYP,187.955,1405.25,32,13.375
SCA,185.484,1356.2,24,13.677
GHG,145.308,1513.5,18,9.601
LI,134.094,1012.0,23,13.25
OF,3.351,343.0,5,0.977
