"ID_evenement","Systeme","Categorie","app.mthd","TAN.app","NH3N_kgNha","er","pct_TAN"
96,"CTR","Digestat liquide","bsth",54.472,23.2968359147773,0.427684607041733,42.7684607041733
97,"CTR","Digestat liquide","bc",62.693,52.247928097788,0.833393330958608,83.3393330958608
130,"MF","Lisier","bc",42.347,11.2857541851788,0.266506580989889,26.6506580989889
133,"MF","Lisier","bc",0.589,0.381154574723423,0.647121519055048,64.7121519055048
136,"MF","Lisier","bsth",0.729,0.168536951145963,0.231189233396383,23.1189233396383
140,"MF","Lisier","bsth",31.059,8.19035253372963,0.263703034023298,26.3703034023298
141,"MF","Lisier","bsth",41.067,13.5415578418979,0.329743050183794,32.9743050183794
143,"MF","Lisier","bsth",36.236,5.89183770230552,0.162596249649672,16.2596249649672
148,"MF","Lisier","bsth",49.368,6.67955377331996,0.135301283692269,13.5301283692269
150,"MF","Digestat liquide","bsth",54.472,23.2968359147773,0.427684607041733,42.7684607041733
151,"MF","Digestat liquide","bc",62.693,52.247928097788,0.833393330958608,83.3393330958608
