Categorie,NH3N_kgha,n_events
Solution azotée (UAN),237.288,33
Digestat liquide,128.882,4
Lisier,47.082,2
Entec,32.004,4
Ammonitrate,7.148,2
Thiosulfate,5.852,5
Additif,0.0,9
Autre organique,0.0,1
Oligo/biostimulant,0.0,5
