Systeme,NH3N_kgha,N_applied_kgha,n_events,intensity_pct
LOM,131.191,649.0,10,20.214
COM,95.435,585.5,9,16.3
HYP,70.218,528.5,15,13.286
SCA,63.654,479.0,10,13.289
GHG,49.719,478.0,9,10.401
LI,48.038,372.5,11,12.896
OF,0.0,37.0,1,0.0
